381 7
INST TIME1 TIME2 PARTIDA REND1 REND2 RESULT
334 SaoPaulo/SP Flamengo/RJ semi Bom Fantastico false
335 SaoPaulo/SP Fluminense/RJ semi Bom Otimo false
336 SaoPaulo/SP Internacional/RS semi Bom Ruim true
337 SaoPaulo/SP Juventude/RS semi Bom Ruim true
338 SaoPaulo/SP Sport/PE semi Bom Ruim true
339 SaoPaulo/SP Corinthians/SP semi-final Otimo Otimo false
340 SaoPaulo/SP Figueirense/SC semi-final Otimo Bom true
341 SaoPaulo/SP Parana/PR semi-final Otimo Bom true
342 SaoPaulo/SP Santos/SP semi-final Otimo Regular true
343 Sport/PE Cruzeiro/MG final Bom Bom true
344 Sport/PE Figueirense/SC final Bom Bom false
345 Sport/PE Palmeiras/SP final Bom Otimo true
346 Sport/PE SaoPaulo/SP final Bom Fantastico false
347 Sport/PE America/RN inicio Regular Otimo false
348 Sport/PE Flamengo/RJ inicio Bom Fantastico false
349 Sport/PE Santos/SP inicio Fantastico Ruim true
350 Sport/PE Atletico/PR meio Bom Bom true
351 Sport/PE Gremio/RS meio Bom Bom true
352 Sport/PE Juventude/RS meio Otimo Ruim true
353 Sport/PE Vasco/RJ meio Bom Bom false
354 Sport/PE Atletico/MG semi Otimo Bom true
355 Sport/PE Botafogo/RJ semi Bom Fantastico false
356 Sport/PE Corinthians/SP semi Bom Otimo true
357 Sport/PE Internacional/RS semi Bom Regular false
358 Sport/PE Nautico/PE semi Otimo Ruim true
359 Sport/PE Fluminense/RJ semi-final Bom Otimo false
360 Sport/PE Goias/GO semi-final Otimo Regular true
361 Sport/PE Parana/PR semi-final Bom Bom true
362 Vasco/RJ Flamengo/RJ final Otimo Otimo false
363 Vasco/RJ Internacional/RS final Bom Bom false
364 Vasco/RJ Palmeiras/SP final Bom Otimo false
365 Vasco/RJ Parana/PR final Bom Regular true
366 Vasco/RJ Fluminense/RJ inicio Bom Bom false
367 Vasco/RJ Gremio/RS inicio Otimo Ruim true
368 Vasco/RJ Sport/PE inicio Fantastico Ruim true
369 Vasco/RJ America/RN meio Fantastico Regular true
370 Vasco/RJ Corinthians/SP meio Otimo Bom true
371 Vasco/RJ Figueirense/SC meio Otimo Otimo false
372 Vasco/RJ Nautico/PE meio Fantastico Bom true
373 Vasco/RJ Atletico/MG semi Fantastico Bom true
374 Vasco/RJ Atletico/PR semi Fantastico Fantastico true
375 Vasco/RJ Goias/GO semi Fantastico Bom true
376 Vasco/RJ Santos/SP semi Otimo Bom true
377 Vasco/RJ Botafogo/RJ semi-final Otimo Otimo true
378 Vasco/RJ Cruzeiro/MG semi-final Otimo Otimo false
379 Vasco/RJ Juventude/RS semi-final Otimo Regular false
380 Vasco/RJ SaoPaulo/SP semi-final Otimo Fantastico false
